排名,学校名称,省市,学校类型,总得分
1,清华大学,北京,综合,852.5 
2,北京大学,北京,综合,746.7 
3,浙江大学,浙江,综合,649.2 
4,上海交通大学,上海,综合,625.9 
5,南京大学,江苏,综合,566.1 
6,复旦大学,上海,综合,556.7 
7,中国科学技术大学,安徽,理工,526.4 
8,华中科技大学,湖北,综合,497.7 
9,武汉大学,湖北,综合,488.0 
10,中山大学,广东,综合,457.2 
11,西安交通大学,陕西,综合,452.5 
12,哈尔滨工业大学,黑龙江,理工,450.2 
13,北京航空航天大学,北京,理工,445.1 
14,北京师范大学,北京,师范,440.9 
15,同济大学,上海,理工,439.0 
16,四川大学,四川,综合,435.7 
17,东南大学,江苏,综合,432.7 
18,中国人民大学,北京,综合,409.7 
19,南开大学,天津,综合,402.1 
20,北京理工大学,北京,理工,395.6 
21,天津大学,天津,理工,390.3 
22,山东大学,山东,综合,387.9 
23,厦门大学,福建,综合,383.3 
23,北京协和医学院,北京,医药,
24,吉林大学,吉林,综合,379.5 
25,华南理工大学,广东,理工,379.4 
26,中南大学,湖南,综合,378.6 
27,大连理工大学,辽宁,理工,365.1 
28,西北工业大学,陕西,理工,359.6 
29,华东师范大学,上海,师范,358.0 
30,中国农业大学,北京,农业,351.5 
30,上海财经大学,上海,财经,
31,湖南大学,湖南,综合,348.3 
32,电子科技大学,四川,理工,334.8 
33,北京科技大学,北京,理工,321.8 
34,重庆大学,重庆,综合,320.9 
35,南京航空航天大学,江苏,理工,319.5 
36,南京理工大学,江苏,理工,317.1 
36,中央财经大学,北京,财经,
37,东北大学,辽宁,理工,314.0 
38,苏州大学,江苏,综合,306.8 
39,华中农业大学,湖北,农业,300.5 
40,兰州大学,甘肃,综合,300.4 
40,香港中文大学（深圳）,广东,综合,
41,西安电子科技大学,陕西,理工,299.4 
41,对外经济贸易大学,北京,财经,
42,华东理工大学,上海,理工,294.6 
43,北京交通大学,北京,理工,293.6 
44,华中师范大学,湖北,师范,292.4 
45,上海大学,上海,综合,290.0 
46,南方科技大学,广东,综合,289.0 
46,首都医科大学,北京,医药,
47,南京农业大学,江苏,农业,283.2 
47,南京医科大学,江苏,医药,
48,暨南大学,广东,综合,282.6 
49,中国海洋大学,山东,综合,281.2 
50,南京师范大学,江苏,师范,279.9 
51,哈尔滨工程大学,黑龙江,理工,279.4 
52,武汉理工大学,湖北,理工,277.6 
52,中南财经政法大学,湖北,财经,
53,西南交通大学,四川,理工,277.3 
54,中国地质大学（武汉）,湖北,理工,274.9 
55,北京邮电大学,北京,理工,273.7 
55,中国政法大学,北京,政法,
56,东北师范大学,吉林,师范,272.5 
57,中国石油大学（北京）,北京,理工,272.4 
58,河海大学,江苏,理工,271.8 
59,江南大学,江苏,综合,271.5 
59,中国医科大学,辽宁,医药,
60,中国矿业大学,江苏,理工,264.9 
61,西北大学,陕西,综合,262.4 
61,上海纽约大学,上海,综合,
62,上海科技大学,上海,综合,261.5 
62,天津医科大学,天津,医药,
63,北京工业大学,北京,理工,260.5 
64,北京化工大学,北京,理工,259.7 
65,深圳大学,广东,综合,259.1 
66,西南大学,重庆,综合,257.5 
67,华南师范大学,广东,师范,254.4 
67,西南财经大学,四川,财经,
68,西北农林科技大学,陕西,农业,251.1 
68,宁波诺丁汉大学,浙江,综合,
69,扬州大学,江苏,综合,250.5 
70,中国地质大学（北京）,北京,理工,248.8 
70,北京外国语大学,北京,语言,
70,东北财经大学,辽宁,财经,
71,中国矿业大学（北京）,北京,理工,247.0 
72,江苏大学,江苏,综合,245.9 
73,东华大学,上海,理工,245.2 
74,中国石油大学（华东）,山东,理工,244.8 
75,宁波大学,浙江,综合,244.3 
75,南方医科大学,广东,医药,
76,福州大学,福建,理工,243.8 
77,北京林业大学,北京,林业,242.3 
78,合肥工业大学,安徽,理工,240.5 
78,哈尔滨医科大学,黑龙江,医药,
78,中国传媒大学,北京,语言,
79,陕西师范大学,陕西,师范,239.9 
80,华北电力大学,北京,理工,235.7 
81,浙江工业大学,浙江,理工,235.5 
82,南京工业大学,江苏,理工,235.4 
83,郑州大学,河南,综合,234.9 
84,云南大学,云南,综合,234.1 
85,湖南师范大学,湖南,师范,233.4 
85,首都师范大学,北京,师范,233.4 
87,南昌大学,江西,综合,228.4 
87,上海外国语大学,上海,语言,
87,上海中医药大学,上海,医药,
88,华南农业大学,广东,农业,227.1 
89,上海理工大学,上海,理工,221.4 
90,安徽大学,安徽,综合,219.2 
91,长安大学,陕西,理工,218.9 
91,中央民族大学,北京,民族,
92,燕山大学,河北,理工,216.7 
93,南京信息工程大学,江苏,理工,216.6 
93,中国药科大学,江苏,医药,
94,湖北大学,湖北,综合,214.5 
95,广东工业大学,广东,理工,214.2 
96,南京邮电大学,江苏,综合,213.9 
97,河南大学,河南,综合,212.9 
98,上海师范大学,上海,师范,212.8 
99,杭州电子科技大学,浙江,理工,211.6 
99,西交利物浦大学,江苏,理工,
100,广州大学,广东,综合,211.1 
101,广西大学,广西,综合,210.9 
102,福建师范大学,福建,师范,210.2 
103,湘潭大学,湖南,综合,210.1 
104,浙江师范大学,浙江,师范,209.8 
104,重庆医科大学,重庆,医药,
105,山东师范大学,山东,师范,207.4 
106,河北工业大学,天津,理工,203.4 
107,河北大学,河北,综合,201.7 
107,外交学院,北京,语言,
107,温州医科大学,浙江,医药,
108,青岛大学,山东,综合,201.4 
108,北京中医药大学,北京,医药,
109,大连海事大学,辽宁,理工,200.9 
109,杭州师范大学,浙江,师范,200.9 
109,江西财经大学,江西,财经,
111,浙江理工大学,浙江,理工,200.3 
111,河北医科大学,河北,医药,
112,东北农业大学,黑龙江,农业,198.5 
112,太原理工大学,山西,理工,198.5 
114,武汉科技大学,湖北,理工,197.9 
114,浙江工商大学,浙江,财经,
115,南京林业大学,江苏,林业,197.0 
116,山西大学,山西,综合,196.6 
117,东北林业大学,黑龙江,林业,194.8 
117,首都经济贸易大学,北京,财经,
118,北京建筑大学,北京,理工,194.1 
119,辽宁大学,辽宁,综合,192.9 
120,福建农林大学,福建,农业,192.5 
121,江苏师范大学,江苏,师范,192.4 
122,华侨大学,福建,综合,191.7 
123,内蒙古大学,内蒙古,综合,191.6 
124,汕头大学,广东,综合,191.2 
125,江西师范大学,江西,师范,188.8 
126,长沙理工大学,湖南,理工,188.3 
126,南京中医药大学,江苏,医药,
127,昆明理工大学,云南,理工,187.5 
127,大连医科大学,辽宁,医药,
128,西安理工大学,陕西,理工,187.2 
129,常州大学,江苏,理工,186.4 
130,黑龙江大学,黑龙江,综合,184.1 
130,湖北工业大学,湖北,理工,184.1 
130,华东政法大学,上海,政法,
132,西安建筑科技大学,陕西,理工,182.6 
132,广东外语外贸大学,广东,语言,
133,西南石油大学,四川,理工,181.9 
133,北京师范大学-香港浸会大学联合国际学院,广东,综合,
134,贵州大学,贵州,综合,181.6 
135,河北师范大学,河北,师范,181.1 
136,安徽师范大学,安徽,师范,180.8 
136,广州医科大学,广东,医药,
137,重庆邮电大学,重庆,理工,179.9 
137,北京语言大学,北京,语言,
138,中国计量大学,浙江,理工,178.3 
139,济南大学,山东,综合,177.1 
140,辽宁师范大学,辽宁,师范,176.7 
140,安徽医科大学,安徽,医药,
141,四川农业大学,四川,农业,176.2 
142,江苏科技大学,江苏,理工,175.9 
143,河南师范大学,河南,师范,175.7 
143,上海体育学院,上海,体育,
144,温州大学,浙江,综合,175.5 
145,天津师范大学,天津,师范,174.8 
146,南通大学,江苏,综合,174.6 
147,上海海事大学,上海,理工,173.6 
148,海南大学,海南,综合,172.7 
149,山东科技大学,山东,综合,172.3 
150,天津工业大学,天津,理工,171.2 
150,西南政法大学,重庆,政法,
151,广西师范大学,广西,师范,170.8 
151,武汉工程大学,湖北,理工,170.8 
153,新疆大学,新疆,综合,170.3 
154,上海海洋大学,上海,农业,169.9 
155,河南农业大学,河南,农业,169.7 
156,成都理工大学,四川,理工,168.3 
157,三峡大学,湖北,综合,167.9 
157,广州中医药大学,广东,医药,
157,上海对外经贸大学,上海,财经,
158,国际关系学院,北京,综合,167.5 
159,浙江农林大学,浙江,林业,167.0 
160,湖南农业大学,湖南,农业,165.9 
160,广西医科大学,广西,医药,
161,陕西科技大学,陕西,理工,165.2 
161,北京工商大学,北京,财经,
162,北方工业大学,北京,理工,164.8 
162,福建医科大学,福建,医药,
163,西北师范大学,甘肃,师范,164.0 
164,曲阜师范大学,山东,师范,163.3 
164,石河子大学,新疆,综合,163.3 
164,浙江财经大学,浙江,财经,
166,山东农业大学,山东,农业,162.1 
166,南京财经大学,江苏,财经,
167,云南师范大学,云南,师范,162.0 
168,石家庄铁道大学,河北,理工,161.3 
169,安徽农业大学,安徽,农业,160.5 
170,安徽工业大学,安徽,理工,160.4 
171,四川师范大学,四川,师范,159.7 
172,青岛科技大学,山东,理工,158.3 
173,湖南科技大学,湖南,综合,158.1 
174,重庆交通大学,重庆,理工,157.3 
175,河北农业大学,河北,农业,156.8 
176,长春理工大学,吉林,理工,156.7 
176,天津理工大学,天津,理工,156.7 
178,河南科技大学,河南,综合,156.6 
179,武汉纺织大学,湖北,理工,155.6 
179,天津中医药大学,天津,医药,
180,中北大学,山西,理工,155.0 
181,齐鲁工业大学,山东,理工,154.6 
182,北京信息科技大学,北京,理工,154.5 
183,沈阳农业大学,辽宁,农业,154.4 
184,宁夏大学,宁夏,综合,153.4 
185,天津科技大学,天津,理工,153.3 
186,吉林农业大学,吉林,农业,151.2 
186,沈阳建筑大学,辽宁,理工,151.2 
186,苏州科技大学,江苏,理工,151.2 
187,南京审计大学,江苏,财经,
188,北京体育大学,北京,体育,
189,上海电力大学,上海,理工,151.0 
189,山东财经大学,山东,财经,
190,长江大学,湖北,综合,150.8 
190,沈阳药科大学,辽宁,医药,
190,天津财经大学,天津,财经,
191,西安科技大学,陕西,理工,150.3 
191,浙江海洋大学,浙江,农业,150.3 
191,温州肯恩大学,浙江,综合,
192,浙江中医药大学,浙江,医药,
192,中南民族大学,湖北,民族,
193,哈尔滨师范大学,黑龙江,师范,148.9 
194,河南工业大学,河南,理工,148.8 
194,沈阳航空航天大学,辽宁,理工,148.8 
195,北京第二外国语学院,北京,语言,
196,哈尔滨理工大学,黑龙江,理工,148.6 
197,华东交通大学,江西,理工,147.9 
198,上海工程技术大学,上海,理工,147.4 
198,延边大学,吉林,综合,147.4 
200,河北科技大学,河北,理工,146.9 
200,沈阳师范大学,辽宁,师范,146.9 
202,西南科技大学,四川,理工,146.7 
202,中南林业科技大学,湖南,林业,146.7 
204,大连工业大学,辽宁,理工,146.6 
204,徐州医科大学,江苏,医药,
205,重庆师范大学,重庆,师范,146.5 
206,南昌航空大学,江西,理工,146.2 
207,河南理工大学,河南,理工,146.1 
208,南华大学,湖南,综合,145.0 
209,重庆理工大学,重庆,理工,144.9 
210,渤海大学,辽宁,综合,142.5 
211,华北理工大学,河北,综合,142.2 
212,兰州理工大学,甘肃,理工,142.0 
213,安徽理工大学,安徽,理工,141.9 
213,大连大学,辽宁,综合,141.9 
214,安徽财经大学,安徽,财经,
215,海南师范大学,海南,师范,141.8 
216,东北电力大学,吉林,理工,141.1 
217,中国民航大学,天津,理工,141.0 
217,山西医科大学,山西,医药,
218,大连交通大学,辽宁,理工,140.7 
219,成都信息工程大学,四川,理工,140.6 
220,江西农业大学,江西,农业,140.1 
220,烟台大学,山东,综合,140.1 
222,桂林电子科技大学,广西,理工,139.5 
223,东莞理工学院,广东,理工,138.6 
224,郑州轻工业大学,河南,理工,138.4 
225,武汉轻工大学,湖北,理工,137.9 
225,西藏大学,西藏,综合,137.9 
227,北京农学院,北京,农业,137.8 
228,佛山科学技术学院,广东,综合,137.4 
229,北京电子科技学院,北京,理工,137.1 
229,厦门理工学院,福建,理工,137.1 
231,上海应用技术大学,上海,理工,137.0 
232,鲁东大学,山东,综合,136.7 
232,西安邮电大学,陕西,理工,136.7 
234,兰州交通大学,甘肃,理工,136.6 
235,沈阳工业大学,辽宁,理工,136.4 
236,东北石油大学,黑龙江,理工,136.0 
236,成都中医药大学,四川,医药,
237,江汉大学,湖北,综合,135.9 
238,内蒙古农业大学,内蒙古,农业,135.7 
239,山东建筑大学,山东,理工,135.5 
239,辽宁中医药大学,辽宁,医药,
240,东华理工大学,江西,理工,135.2 
241,华北水利水电大学,河南,理工,135.1 
242,桂林理工大学,广西,理工,134.9 
243,集美大学,福建,综合,134.8 
243,沈阳化工大学,辽宁,理工,134.8 
243,广东财经大学,广东,财经,
244,宁夏医科大学,宁夏,医药,
244,天津外国语大学,天津,语言,
245,青岛农业大学,山东,农业,134.6 
246,贵州师范大学,贵州,师范,133.9 
247,西华师范大学,四川,师范,133.0 
247,西南医科大学,四川,医药,
248,青海大学,青海,综合,132.6 
249,辽宁工业大学,辽宁,理工,132.2 
250,山东理工大学,山东,理工,132.0 
251,青岛理工大学,山东,理工,131.6 
251,新疆医科大学,新疆,医药,
252,安徽建筑大学,安徽,理工,131.5 
252,西南民族大学,四川,民族,
253,江西理工大学,江西,理工,131.3 
253,黑龙江中医药大学,黑龙江,医药,
254,信阳师范学院,河南,师范,130.6 
255,西华大学,四川,综合,130.5 
256,山西师范大学,山西,师范,130.4 
